ààwẹ̀	23
oníṣòwò	23
ṣébúlúnì	23
ìyàsọ́tọ̀	23
kíákíá	23
erékùṣù	23
pẹ̀lúpẹ̀lú	23
egbò	23
ìgbéríko	23
débi	23
olówó	23
àtẹ̀wọ̀	23
àwá	23
ìbòrí	23
kòtò	23
núnì	23
ásáríyà	23
ẹbí	23
hírámù	23
lẹ̀	23
oorun	23
ẹ̀sẹ̀	22
èsì	22
ìbú	22
túútúú	22
hébúrónì	22
àrá	22
sídónì	22
ọ̀tẹ̀	22
sẹlẹ̀	22
aago	22
éfà	22
mákírì	22
ilẹ	22
kúró	22
ìbàjẹ́	22
tóbẹ́ẹ̀	22
òkìkí	22
bááṣà	22
ìhín	22
ránsẹ́	22
jéhórámù	22
ọ̀pẹ	22
ẹgbọ̀rọ̀	22
sódómù	22
eṣú	22
olódùmarè	22
lóríi	22
bì	22
ọjà	22
kúṣì	22
ìgbẹ̀yìn	22
ronúpìwàdà	22
lóde	22
kẹjọ	22
lójúkan	22
bẹni-hádádì	22
owú	22
ṣọtẹ́lẹ̀	22
hésíbónì	22
àkọ́so	22
tòótọ́	22
ìbò	22
aláìlera	22
ọdẹ	22
àìṣedédé	22
samaríà	22
àbáwọlé	22
amòye	21
ìrísí	21
sú	21
lápapọ̀	21
ìtẹ̀bọ̀	21
ẹgbẹ̀ta	21
tètè	21
ìlọ́po	21
lébánónì	21
tọkàntọkàn	21
gbádùn	21
gíbíà	21
ọ̀ọ́dúnrún	21
késárì	21
ja	21
àwokòtò	21
dẹ	21
nitorí	21
ṣun	21
makedóníà	21
ìrẹ̀lẹ̀	21
bodè	21
dún	21
isà	21
sípò	21
ẹ́sírà	21
ati	21
subú	21
nawọ́	21
ẹ̀ẹ́dẹ́gbẹ̀ta	21
lẹ́bá	21
tiyín	21
sọ́ra	21
ákíṣì	21
òsùwọ̀n	21
dójú	21
ádámù	21
ọ̀tọ̀	21
ámásáyà	21
ète	21
elésèé	21
ìlara	20
níhìn	20
ètò	20
olùkọ́ni	20
tìkárarẹ̀	20
ewu	20
ìyòókù	20
àsálà	20
kẹfà	20
èyi	20
sádókù	20
àwọ̀tẹ́lẹ̀	20
alábùkún	20
ojoojúmọ́	20
ọgọ́rùn	20
ṣa	20
àdéhùn	20
sójú	20
àbí	20
ìpayà	20
àmín	20
mítà	20
káínì	20
áńgẹ́lì	20
mọ̀nàmọ́ná	20
ìdásílẹ̀	20
gbóná	20
ìkìlọ̀	20
ìṣẹ́gun	20
àwọ̀sánmọ̀	20
èéfín	20
kínni	20
àbẹ̀tẹ́lẹ̀	20
tàbi	20
míkáyà	20
ṣíbẹ̀ṣíbẹ̀	20
páṣíà	20
ṣú	20
eruku	20
sísọ	20
ọnà	20
gbójú	20
ṣo	20
àfi	19
aládúgbò	19
kúnlẹ̀	19
àjọ̀dún	19
ṣáfánì	19
ìgúnwà	19
ẹyọ	19
ẹlẹ́ṣin	19
rù	19
sọ́nà	19
kéílà	19
ìwọ̀-oòrùn	19
nílé	19
yípo	19
kíká	19
nílò	19
déédé	19
kẹwàá	19
jẹ́fítà	19
ọ̀fẹ́	19
omijé	19
sán	19
ẹlòmìíràn	19
darapọ̀	19
élámù	19
àìsòótọ́	19
hílíkíyà	19
nébátì	19
ìkúùkù	19
túbọ̀	19
ibìkan	19
aginjù	19
olókùn	19
làálàá	19
alágbàṣe	19
tìtì	19
ibùjókòó	19
bamitíìsì	19
kọ́ọ̀bù	19
jóhánánì	19
yìnyín	19
aláìṣẹ̀	19
dáná	19
jùmọ̀	19
hu	19
ùráyà	18
lọ́gán	18
àníyàn	18
ẹ̀sọ́	18
yapa	18
jéhóásì	18
ìwọ́	18
ámásíà	18
òṣìṣẹ́	18
mọ́kànlá	18
àkíyèsí	18
itan	18
lẹ́tà	18
mẹ́ẹ̀dógún	18
òrìsà	18
àjò	18
oun	18
mú-un	18
àtúnṣe	18
làti	18
tiwa	18
ìgboro	18
agbéraga	18
láyé	18
gásà	18
ṣòfò	18
òrùngbẹ	18
kíkọ́	18
dáríúsì	18
wòye	18
jótamù	18
òrùlé	18
dídá	18
ìkún	18
kánkán	18
bèrè	18
agbada	18
rì	18
óò	18
aláìsòótọ́	18
òtútù	18
isírẹ́lì	18
ìloro	18
